CustomerID,StoreNumber,CustomerSegment,Responder,FirstName,LastName,Address,City,State,Zip,Lat,Lon,StoreId,Direction,DriveTime,DriveDistanceMiles,RowCount
156,100," Corporate",No,VICTORIA,GIBBS,5280 E CALEY AVE,LITTLETON,CO,80121,39.6026147778806,-104.927081566461,100,N,22.54,10.82,
171,100," Corporate",No,CHRISTIE,TOLIVER,5972 S WACO ST,AURORA,CO,80016,39.608628214304,-104.777402227917,100,NW,28.96,11.26,
180,100," Consumer",Yes,JENNI,HOFFMAN,456 S OLIVE WAY,DENVER,CO,80224,39.7081694207501,-104.906288456219,100,S,5.15,1.29,
185,100," Small Business",No,MEGAN,SCRIBNER,2590 CHERRY ST,DENVER,CO,80207,39.7545938593748,-104.933713275814,100,S,16.28,5.5,
191,100," Corporate",No,AMANDA,MCLEOD,7456 E PRINCETON AVE,DENVER,CO,80237,39.6410028674084,-104.901401428571,100,N,14.24,4.69,
196,100," Small Business",No,KATHLEEN,ANDERSON,620 S ALTON WAY,DENVER,CO,80247,39.7036779921019,-104.882566014578,100,W,10.44,2.52,
197,100," Small Business",No,JOYCE,BROWN,2569 S HOLLY PL,DENVER,CO,80222,39.6695226514541,-104.92365797396,100,NE,11.05,3.42,
208,100," Consumer",Yes,ASHLEY,SHARP,835 S QUEBEC ST,DENVER,CO,80247,39.7027665217391,-104.903688240406,100,S,2.17,0.57,
237,100," Consumer",No,LYNN,MONTOYA,1411 S ELIOT ST,DENVER,CO,80219,39.6906773733138,-105.023339224406,100,E,21.87,10.15,
241,100," Small Business",No,GALINA,SMOYLOVSKAYA,21223 E LEHIGH PL,AURORA,CO,80013,39.6449676318095,-104.7405673758,100,NW,30.11,10.97,
244,100," Corporate",No,SHARON,MADIGAN,742 S WOLCOTT CT,DENVER,CO,80219,39.7034678319569,-105.049277474318,100,E,29.3,13.25,
245,100," Corporate",No,TONI,VANNESS,4751 E COSTILLA AVE,LITTLETON,CO,80122,39.5919153685974,-104.931475461047,100,N,24.57,12.58,
248,100," Corporate",No,RACHEL,DUNLEAVY,2047 S MILWAUKEE ST,DENVER,CO,80210,39.6794207330954,-104.952397556522,100,NE,14.12,4.47,
277,100," Corporate",No,SANDRA,BUCHHOLZ,800 PEARL ST,DENVER,CO,80203,39.7290669978162,-104.979741734351,100,SE,17.01,5.43,
290,100," Small Business",No,RACHEL,GAINES,2817 S JEBEL WAY,AURORA,CO,80013,39.6660522432449,-104.75203359982,100,W,28.89,9.94,
315,100," Corporate",No,AARYN,NOVY,7064 E 2ND AVE,DENVER,CO,80220,39.7198798341587,-104.906522929637,100,S,6.86,2,
339,100," Corporate",Yes,BETTY,STEINMANN,5401 E DAKOTA AVE,DENVER,CO,80246,39.7094271325916,-104.92457,100,SE,5.25,1.36,
353,100," Home Office",Yes,MICHELLE,DAENZER,7575 E ARKANSAS AVE,DENVER,CO,80231,39.691916729574,-104.903370292334,100,N,3.14,0.75,
354,100," Home Office",No,ANNA,LIKHTMAN,1625 S BIRCH ST,DENVER,CO,80222,39.6870600820863,-104.9361308364,100,NE,10.1,2.52,
372,100," Corporate",No,SARAH,WISE,11941 E KEPNER DR,AURORA,CO,80012,39.6988746390728,-104.850388230355,100,W,12.13,3.43,
398,100," Corporate",No,BETTY,JENDUSA,12407 E ALASKA PL,AURORA,CO,80012,39.70847565237,-104.844944364916,100,W,12.73,4.11,
404,100," Small Business",No,LINDA,GRAY,755 S ALTON WAY,DENVER,CO,80247,39.701238352712,-104.878020093791,100,W,8.19,2.24,
414,100," Consumer",No,ABBASHER,SAEED,9676 E ARKANSAS PL,DENVER,CO,80247,39.6904509647817,-104.875728548659,100,W,7.38,1.96,
424,100," Small Business",No,MEREDITH,MCFADDEN,8155 E FAIRMOUNT DR,DENVER,CO,80230,39.7123797702926,-104.892602187783,100,SW,5.16,1.73,
434,100," Small Business",No,RUTH,RELIHAN,1459 S BELLAIRE ST,DENVER,CO,80222,39.6900639320416,-104.937472286489,100,E,10.71,2.63,
437,100," Small Business",No,CATHERINE,REDMOND,600 MARTINDALE DR,DENVER,CO,80210,39.6680730154998,-104.980548277139,100,NE,19.54,7.68,
443,100," Small Business",No,PATRICIA,MONTANO,2066 S QUITMAN ST,DENVER,CO,80219,39.6802162857205,-105.041111817807,100,E,27.97,11.85,
448,100," Corporate",No,HELEN,GROSS,1385 VANCE ST,DENVER,CO,80214,39.7381972550041,-105.07920117789,100,E,24.56,13.88,
451,100," Home Office",No,DANIELLE,MOORE,1475 S JASMINE WAY,DENVER,CO,80224,39.6897393700369,-104.918516135142,100,NE,7.37,1.63,
459,100," Home Office",No,LORNA,COLLIER,7750 W 5TH AVE,DENVER,CO,80226,39.7237691969637,-105.08459715209,100,E,27.87,15.52,
460,100," Home Office",No,ANN,SPERA,1874 S PONTIAC WAY,DENVER,CO,80224,39.682890583788,-104.906084398407,100,N,4.93,1.38,
470,100," Small Business",No,ABBY,PIERSON,955 EUDORA ST,DENVER,CO,80220,39.7315306756757,-104.930628314756,100,SE,12.47,3.58,
492,100," Consumer",No,LOIS,MILLER,1890 S RARITAN ST,DENVER,CO,80223,39.6824160765181,-105.00872263127,100,E,20.1,9.74,
508,100," Corporate",No,NANCY,PIEL,2820 KENDALL ST,DENVER,CO,80214,39.7567815582243,-105.065880381403,100,SE,30.4,15.83,
531,100," Corporate",No,ROXANNE,MUSSELMAN,1520 S FLORENCE WAY,DENVER,CO,80247,39.6881537933794,-104.871047143373,100,W,6.93,2.05,
537,100," Corporate",No,JENNIFER,BROOKS,1253 S AKRON WAY,DENVER,CO,80247,39.6937371325917,-104.884024658048,100,W,6.56,1.6,
554,100," Home Office",No,KARA,JONES,4203 S BAHAMA ST,AURORA,CO,80013,39.6402184574686,-104.769293777625,100,NW,28.58,9.82,
556,100," Home Office",Yes,JOLENE,TAYLOR,4550 CHERRY CREEK SOUTH DR,DENVER,CO,80246,39.704130601689,-104.934109014375,100,E,7.61,2.17,
566,100," Corporate",Yes,ANGELA,VANLOWE,6800 E TENNESSEE AVE,DENVER,CO,80224,39.6983078181555,-104.909378943473,100,E,1.92,0.38,
576,100," Corporate",No,NICOLE,FENNESSY,3748 S WALDEN ST,AURORA,CO,80013,39.6464841245223,-104.776424584177,100,NW,26.55,8.98,
586,100," Corporate",No,GLORIA,HENDERSON,2065 S PAGOSA ST,AURORA,CO,80013,39.6788300064498,-104.790384948635,100,W,21.28,7.3,
591,100," Consumer",No,NICOLE,FORD,8155 E FAIRMOUNT DR,DENVER,CO,80230,39.7123797702926,-104.892602187783,100,SW,5.16,1.73,
600,100," Corporate",No,TESS,GALLEGOS,1240 ADAMS ST,DENVER,CO,80206,39.7358086703266,-104.948178054378,100,SE,14.14,4.39,
613,100," Home Office",No,IRMA,JIMENEZ,929 S PEORIA ST,AURORA,CO,80012,39.7008476470588,-104.84735823545,100,W,10.44,3.47,
624,100," Home Office",No,MARTHA,BRAINARD,4295 E MEXICO AVE,DENVER,CO,80222,39.6858371325916,-104.937294040404,100,NE,10.23,2.66,
626,100," Corporate",No,CAROLYN,RAHE,705 S ALTON WAY,DENVER,CO,80247,39.7017553830017,-104.879614427459,100,W,8.41,2.32,
632,100," Small Business",No,ANDREA,DOWNEY,19936 E STANFORD DR,AURORA,CO,80015,39.6327205695306,-104.756019343881,100,NW,30.96,10.66,
637,100," Consumer",Yes,JENNIFER,COLLINS,2900 S RACE ST,DENVER,CO,80210,39.6642758818813,-104.964134050758,100,NE,19.66,6.14,
653,100," Consumer",No,AMY,COOK,4001 S BELLAIRE ST,ENGLEWOOD,CO,80113,39.6438203212387,-104.937628088375,100,NE,19.44,6.96,
676,100," Small Business",No,SUSAN,HOUSTON,150 ALBION ST,DENVER,CO,80220,39.7186103620377,-104.939356620139,100,SE,9.64,2.68,
700,100," Consumer",No,VIRGINIA,SAWATZKE,1578 S CLERMONT ST,DENVER,CO,80222,39.6878762554789,-104.934653841488,100,NE,9.88,2.45,
706,100," Consumer",No,JEANETTE,WOYKYNS,7880 E ELLSWORTH AVE,DENVER,CO,80230,39.7161110422368,-104.897920886492,100,S,5.98,1.83,
711,100," Consumer",No,JESSICA,HAGAR,1027 INGALLS ST,DENVER,CO,80214,39.733542244898,-105.06387831996,100,E,25.3,12.55,
712,100," Consumer",No,DEBORAH,DREITH-CALLOWAY,1874 S LEYDEN ST,DENVER,CO,80224,39.6825487093989,-104.915906638739,100,NE,6.68,1.91,
716,100," Corporate",No,JANET,BUGAIGHIS,1062 WHEELING ST,AURORA,CO,80011,39.7323123358763,-104.832443429414,100,SW,19.57,6.42,
717,100," Corporate",No,CARMEN,BARTOS,2626 S CLAYTON ST,DENVER,CO,80210,39.6689029693297,-104.954904540128,100,NE,18.07,5.55,
727,100," Consumer",No,LISA,WHITTLE,3307 S CLERMONT ST,DENVER,CO,80222,39.6565697959184,-104.93527812122,100,NE,15.78,6.37,
738,100," Consumer",No,LINDA,BONGIORNO,774 S IVY ST,DENVER,CO,80224,39.7024970707071,-104.92040176029,100,E,7.61,1.32,
762,100," Small Business",Yes,ELSIE,JOHNSON,1071 WORCHESTER ST,AURORA,CO,80011,39.7327436394155,-104.832080779153,100,SW,19.31,6.39,
775,100," Home Office",No,PENNY,RENCH,580 S FRANKLIN ST,DENVER,CO,80209,39.7060201763758,-104.968526265464,100,E,15.36,4.39,
786,100," Home Office",No,SHARON,MOUTON,170 ONEIDA ST,DENVER,CO,80220,39.7194623535668,-104.908607456574,100,S,7.33,1.96,
797,100," Corporate",No,DEBBY,CUCCIO,10000 E ALAMEDA AVE,DENVER,CO,80247,39.7096762775043,-104.871550494208,100,W,7.24,2.98,
800,100," Consumer",No,LALANDE,MCMILLAN,8185 E LOWRY BLVD,DENVER,CO,80230,39.7183467901122,-104.893743436438,100,SW,7.04,2.48,
801,100," Consumer",No,TARA,LITTLE,1344 HIGH ST,DENVER,CO,80218,39.7375422780694,-104.964588232851,100,SE,17.63,5.28,
845,100," Corporate",No,DEMAL,BRAKMIC,9869 E FLORIDA PL,DENVER,CO,80247,39.6898031198014,-104.873249842605,100,W,7.11,1.99,
851,100," Corporate",No,CAROL,DALLAS,9710 E 35TH AVE,DENVER,CO,80238,39.7649128674084,-104.874266825027,100,S,20.84,6.47,
860,100," Small Business",No,HAROUNA,BANSE,6900 E EVANS AVE,DENVER,CO,80224,39.6783228674084,-104.90821,100,N,4.72,1.88,
884,100," Corporate",No,CANDIE,AHMED,1075 WASHINGTON ST,DENVER,CO,80203,39.7332812351511,-104.978851631114,100,SE,19.5,5.87,
890,100," Consumer",No,VALERIE,SALLS,5676 W 71ST PL,ARVADA,CO,80003,39.8245715132338,-105.059114267718,100,SE,38.83,20.73,
893,100," Consumer",No,RACHAEL,BROWN,74 JULIAN ST,DENVER,CO,80219,39.717760857062,-105.031079224331,100,E,23,10.83,
899,100," Small Business",No,LARISSA,UCHOA,5875 E ILIFF AVE,DENVER,CO,80222,39.6750130381553,-104.920746787726,100,NE,8.22,2.84,
910,100," Corporate",No,LAURI,DAY,1564 S TRENTON CT,DENVER,CO,80231,39.688637076951,-104.896703947579,100,NW,5.82,1.28,
911,100," Corporate",No,GLORIA,VILLELA,2067 S URAVAN ST,AURORA,CO,80013,39.6793940317468,-104.780238180071,100,W,23.99,8.18,
913,100," Corporate",No,STEPHANIE,EASTWOOD,4380 S KALAMATH ST,ENGLEWOOD,CO,80110,39.6374497959184,-105.000721928029,100,NE,25.66,10.75,
915,100," Home Office",Yes,CRISTIANA,ISKHAKBAYEV,7995 E MISSISSIPPI AVE,DENVER,CO,80247,39.6967971325916,-104.89344,100,W,3.58,0.89,
926,100," Small Business",No,CHRISTINE,SULLIVAN,8650 ABERDEEN CIR,LITTLETON,CO,80130,39.5560225955039,-104.93115912308,100,N,29,16.82,
931,100," Small Business",No,REBECCA,JONES,4363 W 30TH AVE,DENVER,CO,80212,39.7604308012194,-105.043584356162,100,SE,27.75,13.45,
956,100," Consumer",No,JEANIE,CONQUET,4710 E MISSISSIPPI AVE,DENVER,CO,80246,39.6964935112709,-104.932757543378,100,E,7.77,2.18,
967,100," Home Office",No,IRACELA,CORDOVA,11215 E ALAMEDA AVE,AURORA,CO,80012,39.7113175084875,-104.85744726324,100,W,9.47,3.67,
972,100," Corporate",No,LLSA,SIEDERS,850 NEWPORT ST,DENVER,CO,80220,39.7299024489796,-104.909181689455,100,S,9.06,2.79,
978,100," Corporate",No,KENDRA,RUSSELL,2240 CLAY ST,DENVER,CO,80211,39.750778556579,-105.020333645313,100,SE,21.5,11.24,
997,100," Small Business",No,ILA,CRAMER,2984 E AMHERST AVE,DENVER,CO,80210,39.6645611924605,-104.952418061531,100,NE,16.27,5.35,
1018,100," Home Office",No,JOAN,LADD,2552 E ALAMEDA AVE,DENVER,CO,80209,39.7108828674084,-104.95535372093,100,E,11.49,3.3,
1030,100," Small Business",No,LORRALNE,WATKINS,3072 S ROSEMARY ST,DENVER,CO,80231,39.661547830789,-104.898943777301,100,N,9.9,3.21,
1043,100," Small Business",No,KIM,SMITH,20127 E KENYON PL,AURORA,CO,80013,39.6483444441277,-104.752980781377,100,NW,27.26,10,
1059,100," Small Business",No,JULIANA,OSBORNE,1772 BISCAY ST,AURORA,CO,80011,39.7450581947982,-104.767534907243,100,SW,26.67,10.97,
1068,100," Home Office",No,JOAN,SHAFER,610 S CLINTON ST,DENVER,CO,80247,39.7063238077613,-104.876270798878,100,W,8.32,2.66,
1075,100," Home Office",No,ERIN,FUGLEBERG,319 NOME ST,AURORA,CO,80010,39.7209228492795,-104.855055631202,100,SW,16.1,4.54,
1092,100," Corporate",Yes,BONNIE,GILL,401 S LEYDEN ST,DENVER,CO,80224,39.7093222477733,-104.915408233394,100,SE,4.21,1.11,
1102,100," Small Business",No,FLORIKA,BALDWIN,911 S LANSING ST,AURORA,CO,80012,39.7000584017737,-104.858089248547,100,W,10.92,3,
1105,100," Home Office",No,DEJHIA,DRESSLER,1450 S SHOSHONE ST,DENVER,CO,80223,39.689845672668,-105.010236911716,100,E,19.47,9.43,
1123,100," Small Business",No,TAULETTE,BYLSMA,15440 E 13TH AVE,AURORA,CO,80011,39.7372581447421,-104.808394734396,100,SW,20.27,8.42,
1141,100," Small Business",No,KATHY,LOMBARDI,3269 BENTON ST,DENVER,CO,80212,39.7633543640034,-105.055804508818,100,SE,29.88,14.08,
1146,100," Consumer",No,ANDREA,LAMBERT,19495 E NASSAU DR,AURORA,CO,80013,39.6444171325916,-104.761341666667,100,NW,28.44,9.97,
1151,100," Corporate",Yes,AILEEN,DAPROZA,289 QUEBEC ST,DENVER,CO,80220,39.72141,-104.903778288584,100,S,5.34,1.78,
1171,100," Consumer",No,CHRISTA,SIEGGLMEAD,14001 E MARINA DR,AURORA,CO,80014,39.6640579504842,-104.826057080833,100,NW,16.96,6.27,
1175,100," Home Office",No,P,SCHECHTER,1314 GILPIN ST,DENVER,CO,80218,39.7370728571429,-104.967031670906,100,SE,18.3,5.43,
1178,100," Consumer",No,SARA,BRAA,1030 S DOVER ST,DENVER,CO,80226,39.697316234735,-105.093008034797,100,E,30.37,15.84,
1187,100," Consumer",No,TERRY,OWENS,19654 E LINVALE DR,AURORA,CO,80013,39.6670228674084,-104.758495769383,100,W,27.03,9.11,
1206,100," Small Business",No,CYNTHIA,WESTERGAARD,431 MARION ST,DENVER,CO,80218,39.7225055968174,-104.971942158084,100,SE,17.49,4.79,
1208,100," Home Office",No,DEBRA,TONEY,5459 S KRAMERIA ST,ENGLEWOOD,CO,80111,39.6175543640034,-104.916459846762,100,N,20.97,8.79,
1218,100," Small Business",No,LORI,CORDOVA,530 S DAHLIA CIR,DENVER,CO,80246,39.7062677884716,-104.93097177373,100,E,7.53,1.82,
1236,100," Corporate",No,DEBRA,MAXWELL,16576 E ARKANSAS AVE,AURORA,CO,80017,39.6909143719769,-104.794382545652,100,W,19.9,6.41,
1238,100," Corporate",Yes,ALEXANDRIA,HOLMES,9123 E MISSISSIPPI AVE,DENVER,CO,80247,39.6967721001994,-104.88205387354,100,W,4.51,1.32,
1244,100," Home Office",No,EMILY,STURGES,4545 S MONACO ST,DENVER,CO,80237,39.6337847264699,-104.911480610934,100,N,15.26,5.77,
1245,100," Home Office",No,SALLY,MAGERS,17807 E CORNELL DR,AURORA,CO,80013,39.6601598986514,-104.781406790056,100,W,23.87,8.47,
1255,100," Home Office",No,GINA,STOKESDEARY,974 RACINE ST,AURORA,CO,80011,39.7314833385033,-104.843214268802,100,SW,16.85,5.46,
1257,100," Home Office",Yes,AMY,KAHN,6771 E CENTER AVE,DENVER,CO,80224,39.7052971325916,-104.909733708674,100,SE,4.3,0.88,
1262,100," Home Office",No,JENNIFER,FEINBERG,2566 S CLAYTON ST,DENVER,CO,80210,39.6699710204082,-104.954901844234,100,NE,19.23,5.67,
1285,100," Corporate",No,GODELA,BROSNAHAN,1011 S VALENTIA ST,DENVER,CO,80247,39.7009972159165,-104.892591137617,100,W,6.48,1.99,
1288,100," Corporate",No,RHONDA,FEHER,2196 S HOLLY ST,DENVER,CO,80222,39.6772288240004,-104.922078588767,100,NE,8.04,2.88,
1301,100," Home Office",Yes,MARY,KLOSTERMAN,84 SPRUCE ST,DENVER,CO,80230,39.7218951492037,-104.894442111865,100,S,8.19,2.33,
1313,100," Corporate",No,LENA,FISHMAN,12 S DAHLIA ST,DENVER,CO,80246,39.7160845487563,-104.93145277042,100,SE,9.1,2.12,
1320,100," Home Office",No,JENNIFER,VOISARD,95 S CHASE DR,DENVER,CO,80226,39.7150574393565,-105.057154210877,100,E,23.96,12.24,
1329,100," Small Business",No,ESTA,SCHMIDT,675 S ALTON WAY,DENVER,CO,80247,39.703065924631,-104.881265719085,100,W,9.72,2.45,
1358,100," Home Office",No,JANET,JONES,1699 S TRENTON ST,DENVER,CO,80231,39.6848474555408,-104.89686576962,100,NW,5.59,1.38,
1367,100," Consumer",No,CAROL,SENA,6187 DEPEW ST,ARVADA,CO,80003,39.8088080666166,-105.058108515035,100,SE,35.15,19.11,
1380,100," Home Office",No,DEIRDRE,MCMUNN,4870 E 18TH AVE,DENVER,CO,80220,39.7445442834097,-104.930412444037,100,SE,16.58,4.95,
1393,100," Small Business",No,JEAN,WILMINGTON,6428 S ACOMA ST,LITTLETON,CO,80120,39.6006854366465,-104.989263012682,100,NE,30.32,12.72,
1398,100," Consumer",No,ERIN,METZINGER,1279 S CARSON WAY,AURORA,CO,80012,39.6934631122598,-104.822896201228,100,W,16.96,4.81,
1408,100," Consumer",No,MARIA,SALAS,3227 MARION ST,DENVER,CO,80205,39.7623389795918,-104.972278394509,100,SE,22.02,7.29,
1430,100," Home Office",No,SUZANNE,ACOSTA,3882 W QUINN PL,DENVER,CO,80236,39.6378876533763,-105.038433169677,100,NE,32.59,14.66,
1435,100," Corporate",No,CELSA,CRUZ,3139 MILWAUKEE ST,DENVER,CO,80205,39.7611701372903,-104.952586116561,100,SE,19.12,6.39,
1437,100," Corporate",No,SALUSTIA,GONZALEZ,7252 W 20TH AVE,DENVER,CO,80214,39.7474175665616,-105.077323333494,100,E,25.89,14.54,
1450,100," Consumer",No,VERONICA,DECENA,14400 ALBROOK DR,DENVER,CO,80239,39.7759091763692,-104.829763497963,100,SW,24.35,11.94,
1457,100," Corporate",No,VIVIAN,WEIR,3753 S LINCOLN ST,ENGLEWOOD,CO,80113,39.6484856597952,-104.986633403765,100,NE,23.2,9.21,
1484,100," Home Office",No,CHRISTINE,WOLFF,16 S NOME ST,AURORA,CO,80012,39.7148363157866,-104.85479276076,100,W,11.6,4.11,
1487,100," Home Office",No,NANCY,SANDERS,2532 S TUCSON WAY,AURORA,CO,80014,39.6710931953223,-104.838212933801,100,NW,14.88,4.55,
1511,100," Corporate",No,KIMBERLEY,DALE,225 N SABLE BLVD,AURORA,CO,80011,39.7200571064631,-104.819641434526,100,W,16.64,7.02,
1514,100," Corporate",No,SHELLY,TOLTZ,11991 E LAKE CIR,ENGLEWOOD,CO,80111,39.608363256313,-104.848967172491,100,NW,24.3,12.79,
1515,100," Corporate",No,NANCY,DEAN,2481 S CORONA ST,DENVER,CO,80210,39.6716195416021,-104.974776320503,100,NE,17.68,7.08,
1527,100," Small Business",No,MELANIE,RAYKIN,9456 E KANSAS PL,DENVER,CO,80247,39.6947728674084,-104.878380666667,100,W,5.94,1.68,
1528,100," Small Business",Yes,ORRELLE,WEEKS,4934 E 2ND AVE,DENVER,CO,80220,39.7192728674084,-104.930044081633,100,SE,9.66,2.43,
1530,100," Consumer",Yes,ANN,POUNDSTONE,1470 S QUEBEC WAY,DENVER,CO,80231,39.6914344867133,-104.898394581834,100,NW,2.89,0.79,
1558,100," Consumer",No,LACEY,SKALSKY,4711 E MISSISSIPPI AVE,DENVER,CO,80246,39.6967677653249,-104.932760754501,100,E,7.78,2.18,
1577,100," Corporate",Yes,CAROLE,HARRIS,5465 E EXPOSITION AVE,DENVER,CO,80246,39.7039871325916,-104.923164210526,100,E,5.09,1.13,
1581,100," Corporate",No,FRANCINE,HABER,2 ADAMS ST,DENVER,CO,80206,39.7162380955643,-104.948431741978,100,SE,10.66,3,
1591,100," Corporate",Yes,LAURA,KOZAREK,482 S MAGNOLIA ST,DENVER,CO,80224,39.7077096768112,-104.910784287942,100,SE,3.81,0.95,
1627,100," Corporate",Yes,MARION,SLAVSKY,7877 E MISSISSIPPI AVE,DENVER,CO,80247,39.6968071325916,-104.896673333333,100,W,3.16,0.57,
1639,100," Home Office",No,LINDA,SANCHEZ,8350 E YALE AVE,DENVER,CO,80231,39.6685630370949,-104.89159444275,100,N,10.08,2.99,
1649,100," Corporate",No,GINA,BOWERMASTER,3143 S WILDING CT,DENVER,CO,80231,39.6592608682719,-104.889610107472,100,N,11.78,3.53,
1653,100," Corporate",No,CHRISTINA,THOMAS,1699 S TRENTON ST,DENVER,CO,80231,39.6848474555408,-104.89686576962,100,NW,5.59,1.38,
1658,100," Small Business",No,CAROLYN,WHITE,355 MOLINE ST,AURORA,CO,80010,39.7211842045857,-104.857693418189,100,SW,13.29,4.47,
1663,100," Home Office",No,SHERYL,POWELL,2601 NEWPORT ST,DENVER,CO,80207,39.75471,-104.909528374748,100,S,14.4,4.42,
1665,100," Consumer",No,MARIBEL,CASAS,263 S PERRY ST,DENVER,CO,80219,39.7122694918013,-105.03988202881,100,E,24.16,11.57,
1671,100," Small Business",No,RUBY,TURNER,3455 JOSEPHINE ST,DENVER,CO,80205,39.765182065745,-104.958721819905,100,SE,21,6.87,
1683,100," Consumer",Yes,LINDA,MEYER,7328 E MAPLE AVE,DENVER,CO,80230,39.7134913254139,-104.902372263436,100,S,5.6,1.33,
1702,100," Home Office",No,MARY,MARTINS,6387 S HILL ST,LITTLETON,CO,80120,39.6011899308033,-105.014123483833,100,NE,31.32,15.68,
1730,100," Small Business",No,JULIE,MCHENRY,1811 S ELM ST,DENVER,CO,80222,39.6841022364353,-104.929781237607,100,NE,10.24,2.66,
1746,100," Home Office",No,NANCY,PALM,200 RAMPART WAY,DENVER,CO,80230,39.7227572202326,-104.900624258067,100,S,7.89,2.07,
1749,100," Home Office",No,REBECCA,TREVIZO,1292 S OLATHE WAY,AURORA,CO,80017,39.6931102465035,-104.795337236434,100,W,21.07,6.41,
1758,100," Consumer",No,KACIE,JORDAN,192 KENTON ST,AURORA,CO,80010,39.7200522596369,-104.862189646818,100,SW,11.87,3.94,
1759,100," Consumer",No,MARION,POLLOCK,8680 E ALAMEDA AVE,DENVER,CO,80247,39.7081332098878,-104.887673422604,100,SW,5.48,2.09,
